Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,age_group,strata
672756,Q1,Q01,M,31-35,True,False,False,31-35,31-35_M
397861,S500,Q06,M,31-35,True,False,False,31-35,31-35_M
784565,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
159239,Q1,Q01,F,31-35,True,True,False,31-35,31-35_F
185947,S900,Q08,F,26-30,True,False,False,26-30,26-30_F
513736,S900,Q07,F,22-25,True,False,False,22-25,22-25_F
310621,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
108222,S900,Q07,M,31-35,True,False,False,31-35,31-35_M
590047,S1200,Q09,M,22-25,True,False,False,22-25,22-25_M
214423,Q2,Q02,M,22-25,True,False,False,22-25,22-25_M
385046,S1200,Q09,M,26-30,True,True,False,26-30,26-30_M
774663,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
205826,Q3,Q03,M,31-35,True,False,False,31-35,31-35_M
634748,S1200,Q13,F,22-25,True,False,False,22-25,22-25_F
120212,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
206323,S1200,Q12,F,31-35,True,False,False,31-35,31-35_F
486759,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
463040,S1200,Q13,F,31-35,True,True,False,31-35,31-35_F
599671,S500,Q05,M,26-30,True,False,True,26-30,26-30_M
380036,S500,Q05,M,26-30,True,True,False,26-30,26-30_M
102614,S1200,Q12,M,22-25,True,False,False,22-25,22-25_M
917255,Q1,Q02,M,31-35,True,False,False,31-35,31-35_M
172938,S500,Q04,F,31-35,True,False,False,31-35,31-35_F
705341,Q3,Q03,M,31-35,True,False,False,31-35,31-35_M
467351,S900,Q03,M,31-35,True,True,False,31-35,31-35_M
151223,Q2,Q02,F,26-30,True,False,False,26-30,26-30_F
529549,S900,Q07,F,26-30,True,False,False,26-30,26-30_F
210415,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
126325,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
654350,S900,Q08,F,26-30,True,False,False,26-30,26-30_F
246133,Q3,Q03,F,26-30,True,True,False,26-30,26-30_F
453441,S900,Q07,M,31-35,True,False,False,31-35,31-35_M
422632,S500,Q04,F,22-25,True,False,False,22-25,22-25_F
127630,S500,Q06,F,22-25,True,False,False,22-25,22-25_F
263436,S900,Q10,F,31-35,True,True,False,31-35,31-35_F
199453,S500,Q05,M,22-25,True,False,False,22-25,22-25_M
376247,S1200,Q13,F,26-30,True,False,False,26-30,26-30_F
329844,S1200,Q07,M,26-30,True,False,False,26-30,26-30_M
506234,S900,Q11,M,26-30,True,False,False,26-30,26-30_M
100206,S900,Q11,M,26-30,True,False,False,26-30,26-30_M
135730,S900,Q09,M,22-25,True,False,False,22-25,22-25_M
983773,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
113619,Q2,Q02,F,31-35,True,False,False,31-35,31-35_F
585256,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
189450,Q3,Q04,M,22-25,True,False,False,22-25,22-25_M
117122,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
930449,S500,Q05,F,22-25,True,False,False,22-25,22-25_F
933253,S1200,Q12,F,26-30,True,False,False,26-30,26-30_F
141119,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
159441,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
901139,Q1,Q01,F,26-30,True,True,False,26-30,26-30_F
112516,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
346945,S900,Q07,F,22-25,True,False,False,22-25,22-25_F
198653,S900,Q10,M,22-25,True,True,True,22-25,22-25_M
129331,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
204319,S900,Q08,F,26-30,True,False,False,26-30,26-30_F
128632,Q1,Q02,F,31-35,True,False,False,31-35,31-35_F
395251,S900,Q11,F,26-30,True,False,False,26-30,26-30_F
923755,S900,Q10,F,26-30,True,False,False,26-30,26-30_F
103414,Q2,Q02,F,22-25,True,False,False,22-25,22-25_F
202719,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
173435,S500,Q05,F,26-30,True,False,False,26-30,26-30_F
679770,S900,Q09,M,26-30,True,False,True,26-30,26-30_M
970764,S1200,Q09,F,22-25,True,False,False,22-25,22-25_F
156536,S900,Q12,M,22-25,True,False,False,22-25,22-25_M
162935,S900,Q09,M,22-25,True,True,True,22-25,22-25_M
599065,S900,Q04,M,22-25,True,False,False,22-25,22-25_M
520228,S900,Q10,M,22-25,True,False,False,22-25,22-25_M
281135,S1200,Q12,M,26-30,True,False,False,26-30,26-30_M
107018,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
991267,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
140925,S500,Q04,F,22-25,True,False,False,22-25,22-25_F
499566,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
121618,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
161832,S1200,Q12,M,26-30,True,False,False,26-30,26-30_M
368753,S1200,Q12,F,31-35,True,False,False,31-35,31-35_F
124220,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
129634,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
146432,S500,Q06,M,31-35,True,True,False,31-35,31-35_M
958976,S500,Q05,M,26-30,True,True,False,26-30,26-30_M
857263,Q2,Q02,M,22-25,True,False,False,22-25,22-25_M
353740,S900,Q10,M,22-25,True,False,True,22-25,22-25_M
204521,S500,Q07,F,31-35,True,True,True,31-35,31-35_F
146533,S900,Q12,M,26-30,True,False,False,26-30,26-30_M
604537,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
214019,Q2,Q02,F,31-35,True,True,False,31-35,31-35_F
161731,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
113922,S500,Q04,M,31-35,True,False,True,31-35,31-35_M
148032,Q3,Q03,F,31-35,True,False,False,31-35,31-35_F
118528,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
205220,S500,Q05,F,26-30,True,True,False,26-30,26-30_F
816653,S500,Q04,F,22-25,True,False,False,22-25,22-25_F
118225,S900,Q08,M,26-30,True,True,False,26-30,26-30_M
188347,Q3,Q04,F,26-30,True,False,False,26-30,26-30_F
912447,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
192035,S900,Q07,F,26-30,True,False,False,26-30,26-30_F
250932,S500,Q05,F,31-35,True,False,False,31-35,31-35_F
118124,S900,Q07,F,31-35,True,False,False,31-35,31-35_F
208226,Q3,Q03,F,22-25,True,False,False,22-25,22-25_F
559053,Q1,Q02,F,31-35,True,False,True,31-35,31-35_F
178142,S500,Q05,F,26-30,True,True,False,26-30,26-30_F
138130,S1200,Q09,F,31-35,True,False,False,31-35,31-35_F
152225,S1200,Q10,M,31-35,True,False,False,31-35,31-35_M
687163,S500,Q06,M,22-25,True,False,False,22-25,22-25_M
196346,S900,Q11,M,26-30,True,False,False,26-30,26-30_M
194140,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
130417,S900,Q07,M,26-30,True,False,False,26-30,26-30_M
120414,S1200,Q12,F,26-30,True,False,False,26-30,26-30_F
525541,S900,Q10,F,26-30,True,True,False,26-30,26-30_F
698168,S1200,Q12,M,22-25,True,False,False,22-25,22-25_M
201515,S900,Q09,M,26-30,True,True,False,26-30,26-30_M
835657,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
120111,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
211215,S500,Q04,M,26-30,True,False,False,26-30,26-30_M
844961,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
887373,Q2,Q03,F,31-35,True,False,False,31-35,31-35_F
513130,S1200,Q12,F,26-30,True,False,False,26-30,26-30_F
203923,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
212823,S900,Q10,M,22-25,True,False,True,22-25,22-25_M
905147,S1200,Q13,F,36+,True,True,False,36+,36+_F
581349,Q2,Q02,M,31-35,True,False,False,31-35,31-35_M
113215,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
139637,Q2,Q03,F,31-35,True,False,False,31-35,31-35_F
250427,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
149741,S500,Q05,M,26-30,True,False,True,26-30,26-30_M
214221,Q2,Q03,F,22-25,True,False,False,22-25,22-25_F
657659,S900,Q12,F,22-25,True,False,False,22-25,22-25_F
151324,S1200,Q09,M,22-25,True,False,False,22-25,22-25_M
580044,S500,Q05,F,26-30,True,False,False,26-30,26-30_F
212419,S500,Q05,F,26-30,True,True,False,26-30,26-30_F
212116,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
957974,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
305830,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
413934,S1200,Q09,F,31-35,True,False,False,31-35,31-35_F
172332,Q1,Q02,F,26-30,True,False,False,26-30,26-30_F
209329,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
833249,S500,Q04,F,26-30,True,True,False,26-30,26-30_F
174437,S900,Q01,F,31-35,True,False,False,31-35,31-35_F
162329,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
677968,Q2,Q03,F,31-35,True,False,False,31-35,31-35_F
192843,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
820745,S900,Q07,M,31-35,True,False,False,31-35,31-35_M
628248,S900,Q08,M,26-30,True,False,False,26-30,26-30_M
899885,Q3,Q03,F,26-30,True,True,False,26-30,26-30_F
293748,Q2,Q02,F,31-35,True,False,True,31-35,31-35_F
385450,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
321323,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
589567,S1200,Q13,M,22-25,True,False,False,22-25,22-25_M
203418,S500,Q04,M,26-30,True,True,False,26-30,26-30_M
106319,Q3,Q03,M,26-30,True,False,False,26-30,26-30_M
283543,S900,Q09,M,22-25,True,True,True,22-25,22-25_M
910241,S500,Q05,M,26-30,True,True,False,26-30,26-30_M
334635,S500,Q05,F,22-25,True,False,False,22-25,22-25_F
155938,S900,Q08,M,26-30,True,True,False,26-30,26-30_M
101107,S500,Q06,M,22-25,True,False,False,22-25,22-25_M
167238,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
618952,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
391748,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
882161,S900,Q07,F,26-30,True,False,False,26-30,26-30_F
111211,S1200,Q12,F,26-30,True,False,False,26-30,26-30_F
161630,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
101309,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
992673,S900,Q12,F,31-35,True,False,False,31-35,31-35_F
257946,S1200,Q08,F,26-30,True,False,False,26-30,26-30_F
704238,Q3,Q03,M,26-30,True,False,False,26-30,26-30_M
205119,Q2,Q03,M,31-35,True,False,True,31-35,31-35_M
123521,S900,Q10,M,22-25,True,False,False,22-25,22-25_M
177140,S1200,Q13,F,31-35,True,True,False,31-35,31-35_F
825654,S1200,Q12,F,31-35,True,False,False,31-35,31-35_F
151627,Q2,Q02,F,26-30,True,False,False,26-30,26-30_F
519647,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
516742,S1200,Q11,M,31-35,True,False,False,31-35,31-35_M
497865,Q3,Q04,M,26-30,True,False,False,26-30,26-30_M
622236,S500,Q06,M,22-25,True,False,False,22-25,22-25_M
663755,S900,Q11,F,22-25,True,False,False,22-25,22-25_F
352132,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
342129,S1200,Q09,M,26-30,True,False,False,26-30,26-30_M
519950,S500,Q04,F,31-35,True,False,False,31-35,31-35_F
111716,Q3,Q04,F,31-35,True,False,False,31-35,31-35_F
742549,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
993675,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
588565,S900,Q09,M,31-35,True,False,False,31-35,31-35_M
523032,S900,Q09,M,31-35,True,False,False,31-35,31-35_M
989987,S1200,Q13,M,31-35,True,False,False,31-35,31-35_M
128127,S500,Q05,F,26-30,True,False,False,26-30,26-30_F
136631,S1200,Q09,M,22-25,True,False,False,22-25,22-25_M
187547,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
126628,S500,Q04,M,31-35,True,False,False,31-35,31-35_M
656657,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
174841,S900,Q09,M,22-25,True,False,False,22-25,22-25_M
371843,Q3,Q03,F,31-35,True,False,False,31-35,31-35_F
594156,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
182739,Q1,Q01,F,26-30,True,True,False,26-30,26-30_F
468050,S1200,Q08,F,31-35,True,False,False,31-35,31-35_F
199150,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
220721,S900,Q07,M,26-30,True,False,False,26-30,26-30_M
211821,S1200,Q06,M,26-30,True,False,False,26-30,26-30_M
168139,S500,Q07,M,22-25,True,False,False,22-25,22-25_M
165436,S1200,Q12,M,26-30,True,True,False,26-30,26-30_M
110613,S900,Q11,M,26-30,True,False,False,26-30,26-30_M
213522,S1200,Q12,M,26-30,True,False,False,26-30,26-30_M
144832,S500,Q06,F,22-25,True,False,False,22-25,22-25_F
942658,S900,Q08,M,26-30,True,True,False,26-30,26-30_M
298051,Q2,Q02,F,31-35,True,False,False,31-35,31-35_F
185038,S1200,Q11,M,31-35,True,False,False,31-35,31-35_M
894673,Q1,Q02,F,26-30,True,False,False,26-30,26-30_F
152427,S1200,Q13,F,31-35,True,False,False,31-35,31-35_F
100307,Q1,Q01,F,26-30,True,False,False,26-30,26-30_F
536647,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
517239,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
187345,S900,Q09,F,31-35,True,True,False,31-35,31-35_F
114621,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
558657,S1200,Q13,M,22-25,True,False,False,22-25,22-25_M
149842,S900,Q10,F,31-35,True,False,False,31-35,31-35_F
176845,S1200,Q11,F,26-30,True,False,False,26-30,26-30_F
211619,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
112314,S900,Q11,F,26-30,True,False,False,26-30,26-30_F
379657,S900,Q10,F,26-30,True,False,False,26-30,26-30_F
108121,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
153429,Q1,Q02,M,31-35,True,False,False,31-35,31-35_M
145632,S1200,Q08,M,26-30,True,False,False,26-30,26-30_M
456346,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
480141,S500,Q04,F,22-25,True,False,False,22-25,22-25_F
311320,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
185442,S500,Q07,M,22-25,True,True,True,22-25,22-25_M
692964,S1200,Q12,M,22-25,True,False,False,22-25,22-25_M
187850,S500,Q06,M,22-25,True,False,False,22-25,22-25_M
105923,MEG2,Q07,F,31-35,True,True,True,31-35,31-35_F
121416,S900,Q08,M,26-30,True,False,False,26-30,26-30_M
541640,S1200,Q06,M,26-30,True,False,False,26-30,26-30_M
151425,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
966975,S900,Q12,M,22-25,True,True,False,22-25,22-25_M
290136,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
194443,S1200,Q12,M,26-30,True,False,False,26-30,26-30_M
677766,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
910443,S900,Q11,F,26-30,True,False,False,26-30,26-30_F
133928,Q2,Q03,M,26-30,True,False,False,26-30,26-30_M
114823,S900,Q07,F,31-35,True,True,False,31-35,31-35_F
169545,S1200,Q13,M,22-25,True,False,False,22-25,22-25_M
212318,Q2,Q02,F,31-35,True,False,True,31-35,31-35_F
204016,S500,Q06,F,22-25,True,False,False,22-25,22-25_F
137229,S900,Q10,M,22-25,True,False,False,22-25,22-25_M
715950,MEG2,Q07,F,26-30,True,False,False,26-30,26-30_F
255740,S1200,Q10,F,26-30,True,False,False,26-30,26-30_F
872562,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
170631,S900,Q04,F,31-35,True,False,False,31-35,31-35_F
191235,S1200,Q10,M,22-25,True,False,False,22-25,22-25_M
894774,S900,Q10,M,26-30,True,False,False,26-30,26-30_M
153025,Q3,Q04,F,22-25,True,False,False,22-25,22-25_F
732243,Q1,Q02,F,31-35,True,True,False,31-35,31-35_F
898176,S500,Q06,M,31-35,True,True,True,31-35,31-35_M
393247,S900,Q08,F,31-35,True,True,False,31-35,31-35_F
837964,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
130619,S900,Q10,F,26-30,True,False,False,26-30,26-30_F
414229,Q2,Q03,M,31-35,True,False,False,31-35,31-35_M
104012,MEG2,Q07,F,26-30,True,False,True,26-30,26-30_F
397760,Q2,Q02,M,31-35,True,True,False,31-35,31-35_M
919966,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
665254,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
541943,Q3,Q03,F,26-30,True,True,False,26-30,26-30_F
120515,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
124422,Q2,Q03,F,31-35,True,False,False,31-35,31-35_F
130114,S1200,Q08,M,26-30,True,True,False,26-30,26-30_M
108525,S500,Q05,M,22-25,True,False,False,22-25,22-25_M
183034,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
609143,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
571144,S900,Q09,M,22-25,True,False,False,22-25,22-25_M
896879,Q1,Q02,M,26-30,True,False,False,26-30,26-30_M
818455,S1200,Q08,M,31-35,True,False,False,31-35,31-35_M
814548,S1200,Q13,F,31-35,True,False,False,31-35,31-35_F
158136,S500,Q04,M,31-35,True,True,False,31-35,31-35_M
792867,S900,Q12,M,36+,True,False,False,36+,36+_M
297655,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
172029,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
211720,Q3,Q04,M,31-35,True,False,False,31-35,31-35_M
114217,S900,Q08,F,26-30,True,False,False,26-30,26-30_F
154936,S500,Q04,M,26-30,True,False,False,26-30,26-30_M
164939,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
140319,S900,Q08,F,36+,True,False,False,36+,36+_F
169040,S900,Q08,M,22-25,True,True,True,22-25,22-25_M
707749,S900,Q07,M,31-35,True,False,True,31-35,31-35_M
251833,Q3,Q03,M,31-35,True,True,False,31-35,31-35_M
693764,S900,Q11,M,31-35,True,False,False,31-35,31-35_M
113316,S1200,Q12,M,22-25,True,False,False,22-25,22-25_M
129129,S900,Q07,F,31-35,True,False,False,31-35,31-35_F
381543,S900,Q09,F,22-25,True,False,False,22-25,22-25_F
943862,S1200,Q09,M,26-30,True,True,False,26-30,26-30_M
599469,S500,Q04,F,31-35,True,False,False,31-35,31-35_F
397154,S500,Q05,F,26-30,True,False,False,26-30,26-30_F
361234,S900,Q12,F,31-35,True,False,False,31-35,31-35_F
971160,S1200,Q10,M,26-30,True,True,False,26-30,26-30_M
386250,S500,Q04,M,22-25,True,False,False,22-25,22-25_M
130821,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
581450,S900,Q09,M,22-25,True,True,True,22-25,22-25_M
156637,Q1,Q01,M,31-35,True,False,False,31-35,31-35_M
759869,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
927359,S900,Q07,M,22-25,True,True,False,22-25,22-25_M
448347,Q2,Q02,M,26-30,True,False,False,26-30,26-30_M
633847,S900,Q08,F,22-25,True,False,False,22-25,22-25_F
195445,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
765864,S1200,Q08,F,26-30,True,True,False,26-30,26-30_F
131419,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
100408,Q3,Q03,M,31-35,True,False,False,31-35,31-35_M
815247,S1200,Q08,M,26-30,True,False,False,26-30,26-30_M
103818,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
110411,Q2,Q02,M,31-35,True,False,False,31-35,31-35_M
500222,S500,Q05,F,26-30,True,False,False,26-30,26-30_F
217429,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
173536,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
845458,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
176239,S900,Q07,M,31-35,True,False,False,31-35,31-35_M
445543,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
871762,S500,Q06,M,26-30,True,True,False,26-30,26-30_M
152831,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
761957,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
153126,S1200,Q13,F,26-30,True,False,False,26-30,26-30_F
117930,S900,Q10,F,31-35,True,False,False,31-35,31-35_F
210011,S500,Q05,M,22-25,True,False,False,22-25,22-25_M
112920,S900,Q10,M,31-35,True,False,False,31-35,31-35_M
299760,S1200,Q09,M,26-30,True,False,False,26-30,26-30_M
160123,Q3,Q03,M,31-35,True,False,False,31-35,31-35_M
308331,S500,Q04,M,26-30,True,False,False,26-30,26-30_M
111514,MEG2,Q02,M,31-35,True,True,False,31-35,31-35_M
196750,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
163129,Q3,Q04,M,26-30,True,False,False,26-30,26-30_M
568963,S500,Q05,F,31-35,True,False,True,31-35,31-35_F
108323,S500,Q04,F,26-30,True,True,True,26-30,26-30_F
729557,Q1,Q01,F,22-25,True,False,False,22-25,22-25_F
365343,S500,Q06,F,26-30,True,True,False,26-30,26-30_F
167036,S500,Q04,F,26-30,True,True,False,26-30,26-30_F
147636,S1200,Q10,F,22-25,True,False,False,22-25,22-25_F
211922,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
